あわてます 慌てます 慌张，着急，匆忙，慌乱；惊慌失措
せっする 接する 接触；相邻；接待，对待；连接；接上；交接，衔接；遭受、面临某种情况
せったい 接待 接待，招待；指公司等为了业务等目的对客户等进行的款待活动
せってん 接点 接点，接触点；（人际关系等的）接触、联系点
せっしゅ 接種 接种，注射；（疫苗等的）接种
せつぞく 接続 接续；连接；衔接
せっしょく 接触 1. 物体同士が触れること。（物体相互接触）；2. 人や物と交流し、関係を持つこと。（与人或事物交往、打交道）
せっきん 接近 接近；靠近；关系密切；亲近
ひかえめ 控えめ 保守，谨慎；节制；朴素，不张扬
ひかえる 控える 1. 抑制，控制，节制；2. 记录，记下；3. 靠近，临近；4. 等候，待命；5. 准备，预备
こうそ 控訴 上诉；控诉
こうじょ 控除 扣除；减去。指从总数中减去一定的数额。
おしすすめる 推し進める 推进；推动；推行；促进。
すいてい 推定 推断，推算；设想；推测、假定
すいそく 推測 推测，猜测；根据已知情况对未知事物的状态或发展进行想象和判断。
すいり 推理 推理，推断；逻辑推理，通过已知信息得出结论的过程
すいい 推移 推移；变迁；演变
すいせん 推薦 推荐、举荐；推选
すいせんする 推薦する 推荐；举荐
すいしん 推進 推广；促进；推进。
そち 措置 措施；处理；处置。
すくう 掬う 掬，捞，捧；舀；捧起水等液体；收集、汇集；获得、得到
かかげる 掲げる 高举，悬挂；刊登，登载；提出；宣扬，提倡
けいじ 掲示 布告，公布；张贴（通知、告示等）
けいじばん 掲示板 布告板，告示牌，告示栏，公告栏
けいさい 掲載 登载，刊登；把文章、广告、照片等印在报纸、杂志等媒体上展示
つかみとる 掴み取る 抓取，拿到；掌握，理解；抓住（机会等）
つかむ 掴む 抓住；掌握，理解；领会；揪住；逮捕
かきまわす 掻き回す 搅拌；乱翻，乱弄；搅乱；煽动，挑拨
かく 掻く 挠；抓；擦；搔；出（汗）；搅和；搅拌
そろい 揃い 成套，成组；（多人）聚在一起；齐全，完备
そろう 揃う 集齐，到齐；一致；齐全，完备；排列整齐
そろえる 揃える 凑齐；使……一致；备齐；使排列整齐
もむ 揉む 揉，搓；按摩（肩、腰等部位）；争论，争执；推敲（文章等）
もめる 揉める 发生争执；吵架；关系不和；心神不定
えがく 描く 画；描绘；描写；勾勒
びょうしゃ 描写 描写，描绘；对事物的形象、特征等进行具体的描述
さげる 提げる 提，挎；下垂，放下；降低，减低；使……下降
ていきょうする 提供 提供；供给
ていしゅつ 提出 上交，提交；提出（意见、方案等）
ていしゅつします 提出します 提交，提出；呈交；申报
ていけい 提携 合作，协作；携手，联合
ていあん 提案 提案，建议；提出方案
ていあんします 提案します 提出建议；提出提案
ていじ 提示 出示；提示；提供。
あげます0 揚げます 举起；扬起；升起；炸；放（风筝等）；提高；提拔；使扬名等
あげる 揚げる 举起；抬起；提高；提拔；扬起；油炸；扬起（灰尘等）；钓起；扬起（帆等）；举起（杯子等）干杯；扬名；发扬；抚养大；收获；解除（禁令等）
かえます 換えます 交换，更换；兑换；改变，转变
かえる 換える 更换，交换；改变，更改；兑换
かんき 換気 换气，通风；特指通过空气的流通来更新室内空气的行为
かんさん 換算 换算，折合；将一种单位、数值等按照一定的比率转换为另一种单位、数值。
かんさんします 換算します 换算；折合。将一种单位、数量、价值等转换为另一种单位、数量或价值。
にぎりずし 握り寿司 名词，指用手将米饭攥成小块，再加上生鱼片等食材制成的寿司，即手攥寿司。
にぎる 握る 抓，握；掌握；攥（饭团、寿司）；抓住（机会等）
あくしゅ 握手 握手；和好；妥协
えんじょ 援助 帮助，援助，支持
ゆさぶる 揺さぶる 摇动，晃动；震撼，震惊；鼓动，煽动
ゆらぐ 揺らぐ 摇晃；摇曳；动摇；不稳定
ゆらす 揺らす 摇晃，晃动；使动摇；使不稳定
ゆるがす 揺るがす 摇动；使动摇；颤动；使震动；使不稳定；使不坚定；使改变。
ゆれ 揺れ 晃动，摇晃，震动；动摇，波动
ゆれる 揺れる 摇晃；摆动；摇动；晃动；动摇；摇摆；犹豫；波动；震动；颤动
そん 損 亏损；吃亏，不利
そんなう 損なう 损坏（物品）；伤害，损害（健康、感情等）；减少，降低（价值、效果等）
そんしつ 損失 损失；亏损。
そんがい 損害 损害，损失；特指因自然灾害、事故、他人的错误行为等导致的财物、健康、名誉等方面的损失
そんとく 損得 得失；盈亏；利害
かきみだす 搔き乱す 搅乱，弄乱；扰乱，制造混乱；使（情绪等）不平静
たずさえる 携える 携带，拿；携手，偕同；带领，率领
たずさわる 携わる 参与，从事；牵涉，关联
けいたい 携帯 携带；便携式；手机
けいたいしょうせつ 携帯小説 手机小说，指主要通过手机阅读或创作的小说
けいたいでんわ 携帯電話 手机；移动电话
せっしゅ 摂取 摄取（营养、水分等物质）；吸收（知识、文化等抽象事物）
つむ 摘む 摘，采，掐；揪；挑剔，找毛病
てきしゅつ 摘出 摘除，取出；指出；提取；选出
する 摩る 摸，抚摸；搓；摩擦；研磨；钻研
まさつ 摩擦 摩擦；闹矛盾，有分歧；物理学中，两个物体表面间的阻碍相对运动的现象
うつ 撃つ 射击；发射；投，掷；抽打；击败；攻击；抨击；打动，感动
てっぱい 撤廃 取消，撤销；废除，废止
なでる 撫でる 抚摸；抚慰；顺着，捋；轻轻掠过
つまむ 撮む/抓む/摘む 捏；夹起；摘取；抓；揪；撮等。可用于表示用手指等捏住、夹起细小的东西，也可表示摘取花朵、果实等，还能用于抓、揪等动作。
とります 撮ります 拍摄，拍照；摄取；截取。常用于拍照场景，如「写真を撮ります」；也可用于摄取营养等，如「栄養を撮ります」；还可用于截取画面、片段等，如「映像の一部を撮ります」。
とる 撮る 拍照，摄像；抓取，拿取；摄取；剪（头发）等
さつえい 撮影 摄影，拍摄
さつえいきんし 撮影禁止 禁止拍照。表示某个场所或区域不允许进行摄影活动。
ようご 擁護 拥护，维护；保护，捍卫
つりつぶす 擂り潰す 研磨；碾碎；捣烂；彻底打败；使（希望等）破灭；挥霍
つる 擂る/擦る 用力摩擦；研磨，研碎；涂抹（如擦药等）；擦破，磨破
あやつる 操る 驾驶，操作；暗中控制，操纵；掌握；弹奏（乐器）
そうさ 操作 操作；操控；运用
そうじゅう 操縦 驾驶（飞机、船只等交通工具）；操纵，控制（机器、系统等）；摆布，操控（他人）
すりきず 擦り傷 擦伤，擦破的伤口
すりきれる 擦り切れる 磨损，磨破，用旧；（时间、力量等）耗尽，用完；（关系等）疏远，冷淡
すりあい 擦り合い 互相摩擦；互相推诿；互相争论
こする 擦る 擦，揉，搓；蹭；磨；刷；揩；擦破；磨损；摩擦；擦净；擦亮；涂抹；擦去；消除
すれる 擦れる 摩擦；磨损；磨破；（因经历多而）变得世故、圆滑
すれあう 擦れ合う 互相摩擦；相互接触；闹矛盾；产生摩擦
すれちがう 擦れ違う 交错；擦肩而过；（意见、想法等）有分歧、不一致
よじのぼる 攀じ登る 攀登，爬上；费力地爬上去；（在事业等方面）努力向上，进取
さらう 攫う 掠夺，夺取；赢得，取得；抓住，揪住
ささえる 支える 撑起，支撑；支持；维持；赡养；忍受；依靠
ししゅつ 支出 名词，指支付、开销、花费等意思
してん 支店 分店；分公司；分行；支店
してんちょう 支店長 分店经理，分公司经理
したく 支度 准备；打扮，装束；旅行用品
しはらい 支払い 名词，支付，付款；缴纳；开销
しはらう 支払う 支付，付款；偿还；付出（代价等）
しじ 支持 支持；支援；拥护
しえん 支援 名词，援助，支援；给予帮助、支持以促进某事或某人达成目标。
ししゃ 支社 分公司，分社
ししゃちょう 支社長 分公司经理；分社社长
しきゅう 支給 支付；发给；供给。
しはい 支配 支配；管理；统治；控制；左右
ししょう 支障 故障，障碍；妨碍，阻碍
あらたまる 改まる 1. 郑重其事，庄重；2. 端正，改正；3. 重新开始，更新
あらためて 改めて 再次；重新；郑重地；特意
あらためる 改める 1. 改，改变；2. 修改；3. 改正；4. 重新，再次；5. 郑重，正式
かいしゅう 改修 修缮，整修，修复；改进，改良。
かいぜん 改善 改善；改进；改良
かいてい 改定 修改，重新规定；修订，更改（通常用于规则、计划、价格等方面）
かいあく 改悪 越改越坏，改坏；恶化
かいさつ 改札 检票；剪票；验票。指在车站等场所对乘客的车票进行检查，确认其是否符合乘车条件的行为。
かいさつぐち 改札口 检票口；剪票处
かいせい 改正 改正；修改；修正；更改。通常用于对规则、法律、计划等进行修改或完善。
かいざん 改竄 篡改，涂改，删改；对文件、记录、数据等进行非法的修改，以达到某种不正当的目的。
かいちくします 改築します 改建；翻修
かいりょう 改良 改良；改进；改善
かいぎょう 改行 换行；另起一行
かいそう 改装 1. 改换包装；2. 改换装潢；3. 对建筑物、设备等进行改造装修
かいてい 改訂 修订；修改；订正。通常用于指对文本、计划、规则等进行修改和完善，使其更加准确、合适。
かいぞう 改造 改造，改建，改组；对事物进行改变、调整使其具有新的形态或功能
かいかく 改革 改革，革新；对事物进行改进和变革，使其更符合发展需求。
せめる 攻める 1. 进攻，攻击；2. 致力于，钻研；3. 责难，批评
こうげき 攻撃 攻击，进攻；抨击；（球类等）进攻战术
はなす 放す 放开，放走；发射；放弃；让…离开等
はなっておく 放って置く 放置不管；搁置；听任；放任
ほうりだす 放り出す 1. 扔出去，抛出去；2. 中途放弃；3. 开除；4. 突然说出；5. 把人撵出去
ほうりこむ 放り込む 1. 扔进，投入；2. 硬塞进，硬让（某人做某事）
はなる 放る 抛，扔；放弃，弃之不顾；放开，松开
