はこ 箱 箱子；盒子；容器等
きこえます 聞こえます 能听到，听得见；（声音等）传得远；听起来
きこえる 聞こえる 听得见；能听到；听起来；传到耳边
そえる 聳える 高高地直立；耸立；矗立。
ちょうかい 聴解 通过听来理解话语内容的能力
ちょうこう 聴講 〔学校などで〕講義を受ける；〔講義などを〕聴く；傍聴する
しょく 職 职务；职业，工作
しょくじん 職人 工匠；手艺人；行家，精通某一领域的人
しょくひと 職人 工匠，手艺人；具有精湛技艺的专业人士
しょくむ 職務 职务；工作任务
しょくいん 職員 （机关、企业、学校等的）工作人员，职员
しょくば 職場 工作场所，职场，办公地点。指人们进行工作的具体场地或单位。
しょくぎょう 職業 人们为了获取收入而从事的工作种类
しょくしゅ 職種 职业种类；工作类型。指不同的劳动分工类别。
にく 肉 肉，肉类。通常指动物的肌肉组织，可食用。
にくじゃが 肉じゃが 土豆炖肉，一种将土豆和肉一起炖煮的菜肴。
にくたい 肉体 身体；肉体
にくしん 肉親 亲生父母；亲人，骨肉至亲
にくしょく 肉食 吃肉，食肉；肉食。例えば、肉食動物は肉を食べる動物です。（食肉动物是吃肉的动物。）
はだ 肌 肌肤；皮肤；肌肉；物体表面；气质，性格
はださむい 肌寒い 略感寒意的
ひじ 肘 胳膊肘
かんじん 肝心 重要，紧要；关键，核心
かんぞう 肝臓 肝脏
もも 股 大腿
こえる 肥える 1. （动物、人等）变胖，发福；2. （土地等）肥沃；3. （经济等）富裕，充裕；4. （能力、鉴赏力等）提高，增进
ひまん 肥満 肥胖；赘肉
かた 肩 肩膀。人体颈部以下、胳膊连接身体的部位。
かたこり 肩こり 肩部僵硬、酸痛
かたがわり 肩代わり （债务、负担等）转移，更替；代人承担，代替他人做某事
かたがき 肩書き 头衔，职位；（书籍、文章等的）标题，署名
こうてい 肯定 肯定すること。また、そのような態度や判断。また、事実や真実を認めること。
そだち 育ち 发育，成长；培育过程
そだつ 育つ 生长，成长；培育，养育；抚养长大；发展，成长壮大
はえる 育つ 生长、成长、发育、养育、培育等。
そだてる 育てる 他动词，意为养育、抚育、培养、培育、造就等。
そだてむ 育む 孵化；培养，培育；抚养；抱有（某种想法等）
いくじ 育児 育儿，抚育孩子。
いくじきゅうか 育児休暇 育儿休假。指为照顾孩子而申请的休假，其中产假是育儿休假的一种。
いくせい 育成 培育，培养（动植物、人才等）
肺（い） 肺 肺，肺脏
い 胃 人体消化器官之一，位于膈下，上接食道，下通小肠。
せ 背 后背；身高。如「背が高い」表示个子高；「背中」表示后背。
せがたかい 背が高い 身材高；个子高
そむく 背く 1. 背向ける。向きを変えて後ろを向く。2. 反対する。逆らう。3. 裏切る。信頼や誓約を破る。
せなか 背中 人体背部的部分；物体的背面部分
せのび 背伸び 踮起脚；伸懒腰；逞强，逞能。指为了显得比实际更高、更强或优越而做出的行为。
ばいこう 背後 背后；背地，幕后。指物体的后面部分，或不公开、在暗中进行的情况等。
ばいけい 背景 1. 物体背后的景色。2. 对人物、事件起作用的环境或关系等背景形势。
せおう 背負う 背（人或物体）；承担（责任、义务、债务等）；怀有（某种感情、想法等）
こうどう 胡同 城镇中狭窄的街道；胡同
こきょう 胡弓 胡琴。中国の弦楽器の一つで、二枚の蛇皮を張った共鳴箱に弦を付け、琴弓で撥いて音を出す。
くるみ 胡桃 核桃；胡桃
コショウ 胡椒 胡椒这种植物的果实，可作为调味料。
ごま 胡麻 芝麻；胡麻科植物的种子，可榨油，常用于烹饪、制作点心等。
のう 能 能力；才能；本领；技艺；擅长的领域等。
のうりょく 能力 能力。指人或事物所具备的能够完成某种任务或达到某种水平的素质。
のうりつ 能率 效率；功效。
あぶら 脂 脂肪，油脂；（皮肤上的）油垢；（食物等的）油腻感
しぼう 脂肪 生物体の細胞内に含まれる、エネルギー源として機能する有機化合物。
おびやかす 脅かす 威胁，吓唬；以……相逼；危及，对……构成威胁
おびやかす 脅す 通过言语或行为等方式，以不良后果相逼，使对方产生恐惧从而顺从自己的意愿；威胁，恐吓。
きょうはく 脅迫 威胁，恐吓，胁迫。以武力、权势等手段逼迫他人，使其产生恐惧或服从自己的意志。
もろい 脆い 易碎的；脆弱的；不坚固的；没有持久力的
わき 脇 腋下；侧面，旁边
みゃく 脈 1. 脉搏。例：脈が乱れる（脉搏紊乱）。2. 血管。3. 条理；头绪；线索。例：話の脈をつかむ（抓住话的头绪）。4. 关系；联系。例：人脈（人际关系）。5. 倾向；趋势。
あし 脚 名。人体下肢，从臀部到踝骨部分的肢体。
きゃくこう 脚光 舞台上照亮脚部的灯光；（因处于显眼位置而）受人瞩目，成为众人焦点
きゃくほん 脚本 用于戏剧、电影、电视剧等创作的文字底本，详细记录了剧情、角色台词、舞台场景等内容，是拍摄或演出的基础。
あしだち 脚立 人字梯；脚架；支架
かくしょく 脚色 对小说、剧本、故事等进行改编；也指对事实等进行歪曲、夸张。
ぬぎます 脱ぎます 脱（衣服、鞋、帽子、手套等身上穿戴的物品）
ぬぐ 脱ぐ 1. 脱掉（衣物、帽子、鞋子等）；摘掉（眼镜、戒指等）。2. 摆脱；脱离（某种状态、束缚等）。
だつする 脱する 摆脱；脱离；去掉，除去。
だっしゅつ 脱出 逃脱，摆脱，脱离；（从困境、束缚等中）逃出，逃出（某个场所等）
だっぜい 脱税 偷税，漏税；逃税
だっせん 脱線 1. 列车等脱轨。2. 话题、思路等偏离正轨，离题。
だったい 脱退 （组织、团体などから）脱离して、退出すること。また、（ある状况や状态から）离れること。
のう 脳 脑，大脑；脑筋；智力
のうし 脳死 指脑组织发生不可逆性坏死，导致脑功能完全丧失，即脑死亡的状态。
くさります 腐ります 腐烂，腐败；（关系、情况等）变坏，恶化
くさる 腐る 1. 腐烂，腐坏。例：りんごが腐ってしまった。（苹果腐烂了。）2. 腐朽，衰败。例：道が腐っている。（道路破败不堪。）
ふはい 腐敗 腐坏，腐烂；腐败，堕落
うで 腕 手臂，胳膊；手腕；本领，技能
うでまえ 腕前 手艺，能力，本事，本领
うでどけい 腕時計 名词，手表
はれる 腫れる （身体的某个部位）肿起来，肿胀；（因充血、发炎等）鼓起，隆起
こし 腰 人体腹部与下肢连接的部位；物体的中部、中间部分
こしかける 腰掛ける 使……坐下；坐在……上
ようつう 腰痛 腰部疼痛
ちょう 腸 人和动物体内消化器官的一部分，主管消化和吸收养分。分为大肠、小肠等。
はら 腹 腹部，肚子；内心，心情；度量，肚量
はらをたてる 腹を立てる 生气，发火。惯用语，因某事而愤怒，情绪激动。
はらたちい 腹立たしい 令人气愤的，生气的
ふくらむ 膨らむ 膨胀；鼓起；（内心）充满；（数量等）增多，增加
ふくれる 膨れる 膨胀，鼓起；肿胀；（因骄傲等）得意洋洋；（因生气等）噘嘴
ぼうだい 膨大 庞大，巨大；数量、规模等急剧增加而显得庞大
ぼうちょう 膨張 物体の体積や数、量などが大きくなること。また、規模や範囲が広がること。
ぜんはいそげ 膳は急げ 好事不宜迟
おくびょう 臆病 胆怯，胆小，懦弱。形容人缺乏勇气，容易害怕，不敢面对困难或挑战。
へそ 臍 人体腹部中央的凹陷部分，即肚脐
のぞむ 臨む 面临，面对；接近；临（某种情况）；出席，参加。
りんじ 臨時 臨時，暂时；临时性的。
おのずから 自ずから 自然而然地；自发地
みずから 自ら 自己，自身；亲自，自行
じしゅ 自主 自己作主，独立自主。
じしん 自信 自信，信心；把握，确信。
じぶん 自分 自己，自身；本人。
じぶんで 自分で 自己，亲自。表示由自己来做某事，强调自主性。
じどうしとたどうし 自動詞と他動詞 自動詞：主語が自発的に行う動作や状態を表す動詞で、目的語が不要である。例えば、「走る」「寝る」など。他動詞：主語が他に対して行う動作を表す動詞で、目的語が必要である。例えば、「食べる」「書く」など。
じどう 自動 自动；自身运动
じどうし 自動詞 表示动词的一种类型，即不需要带宾语，动作由主语自身完成的动词。
じどうしゃ 自動車 依靠自身动力行驶的车辆，一般指汽车
じどうしゃメーカー 自動車メーカー 汽车制造商
じどううんてん 自動運転 自动驾驶，无人驾驶。指车辆等依靠自身系统自动进行行驶操作，无需人为操控方向盘等。
